sex;parameter;dist;mu_link;mu_int;mu_lnht;mu_lnage;mu_spline;sg_int;sg_lnht;sg_lnage;sg_spline;nu_int;nu_lnage
1;FEV1;NO;log;-8.49128;2.11897;-0.31649;1;-0.27337;0;-0.11743;1;;
1;FVC;BCCG;identity;-46.08067;10.63311;-1.22285;0;-2.80395;0.25943;0;0;1;0
1;FEV1FVC;BCCG;log;5.97781;-0.26610;-0.03989;0;-2.24894;0;0;0;-0.2047;0
1;FEF75;BCCG;identity;-7.9476;2.6384;-1.0230;1;-2.03812;0;0.31719;1;-0.15198;0.07929
1;FEF2575;BCCG;identity;-23.1573;6.3505;-1.4881;1;-2.51735;0;0.34540;1;1.718;-0.2828
1;FEF25;NO;log;-6.74279;1.80455;-0.17400;1;0.32974;0;0.04975;1;;
1;FEF50;BCCG;identity;-29.1425;7.6658;-1.5277;1;-2.7300;0;0.3828;1;1.00;0
0;FEV1;BCCG;log;-7.93378;1.96719;-0.30208;1;-2.78789;0.23668;0;1;1.00;0
0;FVC;NO;log;-9.88323;2.33865;-0.24521;1;-0.3282;-0.1256;0;1;;
0;FEV1FVC;BCCG;log;6.3856;-0.3337;-0.0576;0;-2.45885;0;0;0;1.9199;0
0;FEF75;BCCG;identity;-3.9303;1.71;-0.8635;1;-1.80903;0;0.23859;1;0.07508;0.05966
0;FEF2575;BCCG;identity;-10.86977;3.60165;-1.14844;1;-2.49956;0;0.32037;1;1.00;0
0;FEF25;BCCG;log;-3.64765;1.1741;-0.20406;1;-2.54786;0;0.32006;1;1.00;0
0;FEF50;BCCG;identity;-10.2905;3.4868;-1.0482;1;-2.18089;0;0.23209;1;1.00;0
