sex;parameter;age;mspline;sspline
1;FEV1;18.0;-0.057944198;-4.25e-05
1;FEV1;18.25;-0.054310456;-4.02e-05
1;FEV1;18.5;-0.050743956;-3.79e-05
1;FEV1;18.75;-0.047259825;-3.56e-05
1;FEV1;19.0;-0.043871917;-3.33e-05
1;FEV1;19.25;-0.040591895;-3.12e-05
1;FEV1;19.5;-0.037426408;-2.9e-05
1;FEV1;19.75;-0.034380501;-2.69e-05
1;FEV1;20.0;-0.03145872;-2.48e-05
1;FEV1;20.25;-0.02866489;-2.28e-05
1;FEV1;20.5;-0.026001415;-2.08e-05
1;FEV1;20.75;-0.023470149;-1.89e-05
1;FEV1;21.0;-0.021072684;-1.7e-05
1;FEV1;21.25;-0.018809247;-1.52e-05
1;FEV1;21.5;-0.016675483;-1.34e-05
1;FEV1;21.75;-0.014666122;-1.17e-05
1;FEV1;22.0;-0.012776141;-1e-05
1;FEV1;22.25;-0.011000414;-8.4e-06
1;FEV1;22.5;-0.009332745;-6.83e-06
1;FEV1;22.75;-0.007766927;-5.32e-06
1;FEV1;23.0;-0.006297072;-3.86e-06
1;FEV1;23.25;-0.004917283;-2.45e-06
1;FEV1;23.5;-0.003620742;-1.1e-06
1;FEV1;23.75;-0.002400691;2.04e-07
1;FEV1;24.0;-0.001250738;1.45e-06
1;FEV1;24.25;-0.000165397;2.65e-06
1;FEV1;24.5;0.000858277;3.79e-06
1;FEV1;24.75;0.001822546;4.88e-06
1;FEV1;25.0;0.002729575;5.91e-06
1;FEV1;25.25;0.003581402;6.9e-06
1;FEV1;25.5;0.004379836;7.83e-06
1;FEV1;25.75;0.005126575;8.71e-06
1;FEV1;26.0;0.005823255;9.53e-06
1;FEV1;26.25;0.006472144;1.03e-05
1;FEV1;26.5;0.007078139;1.1e-05
1;FEV1;26.75;0.00764657;1.17e-05
1;FEV1;27.0;0.008182489;1.23e-05
1;FEV1;27.25;0.008690733;1.29e-05
1;FEV1;27.5;0.00917603;1.34e-05
1;FEV1;27.75;0.009642903;1.39e-05
1;FEV1;28.0;0.010095644;1.44e-05
1;FEV1;28.25;0.01053797;1.48e-05
1;FEV1;28.5;0.010971997;1.52e-05
1;FEV1;28.75;0.011399389;1.55e-05
1;FEV1;29.0;0.011821724;1.58e-05
1;FEV1;29.25;0.012240508;1.61e-05
1;FEV1;29.5;0.012657177;1.63e-05
1;FEV1;29.75;0.013073098;1.65e-05
1;FEV1;30.0;0.013489573;1.67e-05
1;FEV1;30.25;0.01390767;1.69e-05
1;FEV1;30.5;0.014327758;1.7e-05
1;FEV1;30.75;0.014750022;1.72e-05
1;FEV1;31.0;0.01517464;1.72e-05
1;FEV1;31.25;0.015601696;1.73e-05
1;FEV1;31.5;0.016030946;1.74e-05
1;FEV1;31.75;0.016462077;1.74e-05
1;FEV1;32.0;0.01689479;1.74e-05
1;FEV1;32.25;0.017328822;1.74e-05
1;FEV1;32.5;0.017764024;1.74e-05
1;FEV1;32.75;0.018200275;1.73e-05
1;FEV1;33.0;0.01863746;1.73e-05
1;FEV1;33.25;0.019075469;1.72e-05
1;FEV1;33.5;0.019514194;1.71e-05
1;FEV1;33.75;0.019953531;1.7e-05
1;FEV1;34.0;0.02039338;1.69e-05
1;FEV1;34.25;0.02083368;1.68e-05
1;FEV1;34.5;0.021274491;1.66e-05
1;FEV1;34.75;0.021715905;1.64e-05
1;FEV1;35.0;0.02215801;1.63e-05
1;FEV1;35.25;0.022600715;1.61e-05
1;FEV1;35.5;0.023043246;1.59e-05
1;FEV1;35.75;0.023484694;1.57e-05
1;FEV1;36.0;0.023924187;1.54e-05
1;FEV1;36.25;0.02436079;1.52e-05
1;FEV1;36.5;0.024793224;1.49e-05
1;FEV1;36.75;0.025220164;1.47e-05
1;FEV1;37.0;0.025640344;1.44e-05
1;FEV1;37.25;0.026052587;1.42e-05
1;FEV1;37.5;0.026455932;1.39e-05
1;FEV1;37.75;0.026849496;1.36e-05
1;FEV1;38.0;0.027232436;1.33e-05
1;FEV1;38.25;0.027603764;1.3e-05
1;FEV1;38.5;0.027961833;1.27e-05
1;FEV1;38.75;0.028304886;1.24e-05
1;FEV1;39.0;0.028631237;1.21e-05
1;FEV1;39.25;0.02893924;1.17e-05
1;FEV1;39.5;0.029227202;1.14e-05
1;FEV1;39.75;0.029493468;1.11e-05
1;FEV1;40.0;0.029736452;1.08e-05
1;FEV1;40.25;0.029954631;1.04e-05
1;FEV1;40.5;0.03014654;1.01e-05
1;FEV1;40.75;0.030310775;9.75e-06
1;FEV1;41.0;0.03044599;9.42e-06
1;FEV1;41.25;0.030550961;9.08e-06
1;FEV1;41.5;0.03062478;8.75e-06
1;FEV1;41.75;0.030666648;8.41e-06
1;FEV1;42.0;0.030675798;8.08e-06
1;FEV1;42.25;0.030651531;7.75e-06
1;FEV1;42.5;0.030593292;7.42e-06
1;FEV1;42.75;0.030500586;7.09e-06
1;FEV1;43.0;0.030372939;6.76e-06
1;FEV1;43.25;0.030209864;6.43e-06
1;FEV1;43.5;0.030010738;6.1e-06
1;FEV1;43.75;0.02977493;5.77e-06
1;FEV1;44.0;0.029501835;5.45e-06
1;FEV1;44.25;0.02919104;5.13e-06
1;FEV1;44.5;0.028842795;4.81e-06
1;FEV1;44.75;0.028457506;4.49e-06
1;FEV1;45.0;0.028035576;4.17e-06
1;FEV1;45.25;0.027577566;3.85e-06
1;FEV1;45.5;0.027084681;3.54e-06
1;FEV1;45.75;0.026558258;3.22e-06
1;FEV1;46.0;0.025999596;2.91e-06
1;FEV1;46.25;0.025409926;2.6e-06
1;FEV1;46.5;0.024790311;2.3e-06
1;FEV1;46.75;0.024141752;1.99e-06
1;FEV1;47.0;0.023465223;1.69e-06
1;FEV1;47.25;0.022761688;1.38e-06
1;FEV1;47.5;0.022032126;1.08e-06
1;FEV1;47.75;0.021277503;7.85e-07
1;FEV1;48.0;0.020498761;4.89e-07
1;FEV1;48.25;0.019696761;1.94e-07
1;FEV1;48.5;0.018872129;-9.96e-08
1;FEV1;48.75;0.018025423;-3.91e-07
1;FEV1;49.0;0.017157188;-6.82e-07
1;FEV1;49.25;0.016267954;-9.7e-07
1;FEV1;49.5;0.015358227;-1.26e-06
1;FEV1;49.75;0.014428503;-1.54e-06
1;FEV1;50.0;0.013479263;-1.83e-06
1;FEV1;50.25;0.01251098;-2.11e-06
1;FEV1;50.5;0.011524124;-2.4e-06
1;FEV1;50.75;0.010519152;-2.68e-06
1;FEV1;51.0;0.009496513;-2.96e-06
1;FEV1;51.25;0.008456643;-3.25e-06
1;FEV1;51.5;0.007399956;-3.53e-06
1;FEV1;51.75;0.006326854;-3.81e-06
1;FEV1;52.0;0.005237732;-4.09e-06
1;FEV1;52.25;0.004132944;-4.37e-06
1;FEV1;52.5;0.003012733;-4.65e-06
1;FEV1;52.75;0.001877307;-4.94e-06
1;FEV1;53.0;0.000726871;-5.22e-06
1;FEV1;53.25;-0.000438371;-5.5e-06
1;FEV1;53.5;-0.001618211;-5.78e-06
1;FEV1;53.75;-0.002812442;-6.06e-06
1;FEV1;54.0;-0.004020862;-6.34e-06
1;FEV1;54.25;-0.005243272;-6.62e-06
1;FEV1;54.5;-0.006479476;-6.9e-06
1;FEV1;54.75;-0.007729284;-7.19e-06
1;FEV1;55.0;-0.008992509;-7.47e-06
1;FEV1;55.25;-0.010268966;-7.75e-06
1;FEV1;55.5;-0.011558473;-8.04e-06
1;FEV1;55.75;-0.012860854;-8.32e-06
1;FEV1;56.0;-0.014175934;-8.6e-06
1;FEV1;56.25;-0.015503529;-8.89e-06
1;FEV1;56.5;-0.016843417;-9.17e-06
1;FEV1;56.75;-0.01819537;-9.46e-06
1;FEV1;57.0;-0.019559162;-9.74e-06
1;FEV1;57.25;-0.020934574;-1e-05
1;FEV1;57.5;-0.022321391;-1.03e-05
1;FEV1;57.75;-0.023719402;-1.06e-05
1;FEV1;58.0;-0.025128401;-1.09e-05
1;FEV1;58.25;-0.026548183;-1.12e-05
1;FEV1;58.5;-0.027978537;-1.14e-05
1;FEV1;58.75;-0.029419254;-1.17e-05
1;FEV1;59.0;-0.030870131;-1.2e-05
1;FEV1;59.25;-0.032330975;-1.23e-05
1;FEV1;59.5;-0.033801629;-1.25e-05
1;FEV1;59.75;-0.035281949;-1.28e-05
1;FEV1;60.0;-0.036771792;-1.31e-05
1;FEV1;60.25;-0.03827098;-1.34e-05
1;FEV1;60.5;-0.039779183;-1.36e-05
1;FEV1;60.75;-0.041296043;-1.39e-05
1;FEV1;61.0;-0.042821207;-1.42e-05
1;FEV1;61.25;-0.044354294;-1.44e-05
