age;FEV1_males_Lspline;FEV1_males_Mspline;FEV1_males_Sspline;FVC_males_Lspline;FVC_males_Mspline;FVC_males_Sspline;FEV1FVC_males_Lspline;FEV1FVC_males_Mspline;FEV1FVC_males_Sspline;FEF25_75_males_Lspline;FEF25_75_males_Mspline;FEF25_75_males_Sspline;FEV1_females_Lspline;FEV1_females_Mspline;FEV1_females_Sspline;FVC_females_Lspline;FVC_females_Mspline;FVC_females_Sspline;FEV1FVC_females_Lspline;FEV1FVC_females_Mspline;FEV1FVC_females_Sspline;FEF25_75_females_Lspline;FEF25_75_females_Mspline;FEF25_75_females_Sspline
6;0;0.072391;-0.05671;0;0;0;0;0.038616;7.06e-05;0;0.122069;-0.00013;0;0;0;0;0;0;0;0;0;0;0;0
6.25;0;0.063104;-0.05177;0;0;0;0;0.030822;6.16e-05;0;0.104053;-0.00011;0;0;0;0;0;0;0;0;0;0;0;0
6.5;0;0.054151;-0.04707;0;0;0;0;0.023677;5.28e-05;0;0.086928;-9.63e-05;0;0;0;0;0;0;0;0;0;0;0;0
6.75;0;0.045498;-0.04256;0;0;0;0;0.017402;4.42e-05;0;0.07077;-7.96e-05;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0.037146;-0.03814;0;0;0;0;0.01212;3.57e-05;0;0.055648;-6.38e-05;0;0;0;0;0;0;0;0;0;0;0;0
7.25;0;0.029124;-0.03368;0;0;0;0;0.00783;2.75e-05;0;0.041623;-4.89e-05;0;0;0;0;0;0;0;0;0;0;0;0
7.5;0;0.021454;-0.02904;0;0;0;0;0.004454;1.97e-05;0;0.028725;-3.48e-05;0;0;0;0;0;0;0;0;0;0;0;0
7.75;0;0.014112;-0.02414;0;0;0;0;0.00183;1.24e-05;0;0.016906;-2.14e-05;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.007018;-0.01892;0;0;0;0;-0.00029;5.56e-06;0;0.00603;-8.6e-06;0;0;0;0;0;0;0;0;0;0;0;0
8.25;0;0.000139;-0.01339;0;0;0;0;-0.00206;-6.61e-07;0;-0.00398;3.61e-06;0;0;0;0;0;0;0;0;0;0;0;0
8.5;0;-0.00652;-0.00762;0;0;0;0;-0.00358;-6.31e-06;0;-0.01318;1.52e-05;0;0;0;0;0;0;0;0;0;0;0;0
8.75;0;-0.01288;-0.00166;0;0;0;0;-0.00497;-1.14e-05;0;-0.02163;2.61e-05;0;0;0;0;0;0;0;0;0;0;0;0
9;0;-0.01886;0.00437;0;0;0;0;-0.00633;-1.61e-05;0;-0.02938;3.6e-05;0;0;0;0;0;0;0;0;0;0;0;0
9.25;0;-0.02437;0.010367;0;0;0;0;-0.00766;-2.02e-05;0;-0.03641;4.49e-05;0;0;0;0;0;0;0;0;0;0;0;0
9.5;0;-0.02933;0.016213;0;0;0;0;-0.00894;-2.4e-05;0;-0.04267;5.27e-05;0;0;0;0;0;0;0;0;0;0;0;0
9.75;0;-0.03361;0.021792;0;0;0;0;-0.0101;-2.74e-05;0;-0.04805;5.93e-05;0;0;0;0;0;0;0;0;0;0;0;0
10;0;-0.03714;0.027007;0;0;0;0;-0.01108;-3.03e-05;0;-0.05244;6.46e-05;0;0;0;0;0;0;0;0;0;0;0;0
