parameter;sex;a0;a_ht;a_age
FVC;male;-4.34;0.0576;-0.026
FEV1;male;-2.49;0.043;-0.029
FEV1FVC;male;87.21;0.0;-0.18
FEF25;male;-0.47;0.0546;-0.029
FEF50;male;-0.35;0.0379;-0.031
FEF75;male;-1.34;0.0261;-0.026
FEF25_75;male;2.7;0.0194;-0.043
PEFR;male;0.15;0.0614;-0.043
FIVC;male;-4.65;0.061;-0.028
FVC;female;-2.89;0.0443;-0.026
FEV1;female;-2.6;0.0395;-0.025
FEV1FVC;female;89.1;0.0;-0.19
FEF25;female;1.6;0.0322;-0.025
FEF50;female;1.16;0.0245;-0.025
FEF75;female;1.11;0.0105;-0.025
FEF25_75;female;2.92;0.0125;-0.034
PEFR;female;-1.11;0.055;-0.03
FIVC;female;-3.28;0.0466;-0.026
