parameter;sex;ethnicity;age_group;a0_pred;a1_age;a2_age2;a3_ht2_pred;a3_ht2_lln
FEV1;male;caucasian;child;-0.7453;-0.04106;0.004477;0.00014098;0.00011607
FEV6;male;caucasian;child;-0.3119;-0.18612;0.009717;0.00018188;0.00015323
FVC;male;caucasian;child;-0.2584;-0.20415;0.010133;0.00018642;0.00015695
PEF;male;caucasian;child;-0.5962;-0.12357;0.013135;0.00024962;0.00017635
FEF25_75;male;caucasian;child;-1.0863;0.13939;0;0.00010345;0.00005294
FEV1;male;caucasian;adult;0.5536;-0.01303;-0.000172;0.00014098;0.00011607
FEV6;male;caucasian;adult;0.1102;-0.00842;-0.000223;0.00018188;0.00015323
FVC;male;caucasian;adult;-0.1933;0.00064;-0.000269;0.00018642;0.00015695
PEF;male;caucasian;adult;1.0523;0.08272;-0.001301;0.00024962;0.00017635
FEF25_75;male;caucasian;adult;2.7006;-0.04995;0;0.00010345;0.00005294
FEV1;male;african_american;child;-0.7048;-0.05711;0.004316;0.00013194;0.00010561
FEV6;male;african_american;child;-0.5525;-0.14107;0.007241;0.00016429;0.00013499
FVC;male;african_american;child;-0.4971;-0.15497;0.007701;0.00016643;0.0001367
PEF;male;african_american;child;-0.2684;-0.28016;0.018202;0.00027333;0.00018938
FEF25_75;male;african_american;child;-1.1627;0.12314;0;0.00010461;0.00004819
FEV1;male;african_american;adult;0.3411;-0.02309;0;0.00013194;0.00010561
FEV6;male;african_american;adult;-0.0547;-0.02114;0;0.00016429;0.00013499
FVC;male;african_american;adult;-0.1517;-0.01821;0;0.00016643;0.0001367
PEF;male;african_american;adult;2.2257;-0.04082;0;0.00027333;0.00018938
FEF25_75;male;african_american;adult;2.1477;-0.04238;0;0.00010461;0.00004819
FEV1;male;mexican_american;child;-0.8218;-0.04248;0.004291;0.00015104;0.0001267
FEV6;male;mexican_american;child;-0.6646;-0.1127;0.007306;0.0001784;0.00015029
FVC;male;mexican_american;child;-0.7571;-0.0952;0.006619;0.00017823;0.00014947
PEF;male;mexican_american;child;-0.9537;-0.19602;0.014497;0.00030243;0.00021833
FEF25_75;male;mexican_american;child;-1.3592;0.10529;0;0.00014473;0.0000902
FEV1;male;mexican_american;adult;0.6306;-0.02928;0;0.00015104;0.0001267
FEV6;male;mexican_american;adult;0.5757;-0.0286;0;0.0001784;0.00015029
FVC;male;mexican_american;adult;0.2376;-0.00891;-0.000182;0.00017823;0.00014947
PEF;male;mexican_american;adult;0.087;0.0658;-0.001195;0.00030243;0.00021833
FEF25_75;male;mexican_american;adult;1.7503;-0.05018;0;0.00014473;0.0000902
FEV1;female;caucasian;child;-0.871;0.06537;0;0.00011496;0.00009283
FEV6;female;caucasian;child;-1.1925;0.06544;0;0.00014395;0.00011827
FVC;female;caucasian;child;-1.2082;0.05916;0;0.00014815;0.00012198
PEF;female;caucasian;child;-3.6181;0.60644;-0.016846;0.00018623;0.00012148
FEF25_75;female;caucasian;child;-2.5284;0.5249;-0.015309;0.00006982;0.00002302
FEV1;female;caucasian;adult;0.4333;-0.00361;-0.000194;0.00011496;0.00009283
FEV6;female;caucasian;adult;-0.1373;0.01317;-0.000352;0.00014395;0.00011827
FVC;female;caucasian;adult;-0.356;0.0187;-0.000382;0.00014815;0.00012198
PEF;female;caucasian;adult;0.9267;0.06929;-0.001031;0.00018623;0.00012148
FEF25_75;female;caucasian;adult;2.367;-0.01904;-0.0002;0.00006982;0.00002302
FEV1;female;african_american;child;-0.963;0.05799;0;0.00010846;0.00008546
FEV6;female;african_american;child;-0.637;-0.04243;0.003508;0.00013497;0.00010848
FVC;female;african_american;child;-0.6166;-0.04687;0.003602;0.00013606;0.00010916
PEF;female;african_american;child;-1.2398;0.16375;0;0.00019746;0.0001216
FEF25_75;female;african_american;child;-2.5379;0.43755;-0.012154;0.00008572;0.0000338
FEV1;female;african_american;adult;0.3433;-0.01283;-0.000097;0.00010846;0.00008546
FEV6;female;african_american;adult;-0.1981;0.00047;-0.00023;0.00013497;0.00010848
FVC;female;african_american;adult;-0.3039;0.00536;-0.000265;0.00013606;0.00010916
PEF;female;african_american;adult;1.3597;0.03458;-0.000847;0.00019746;0.0001216
FEF25_75;female;african_american;adult;2.0828;-0.03793;0;0.00008572;0.0000338
FEV1;female;mexican_american;child;-0.9641;0.0649;0;0.00012154;0.0000989
FEV6;female;mexican_american;child;-1.241;0.07625;0;0.00014106;0.0001148
FVC;female;mexican_american;child;-1.2507;0.07501;0;0.00014246;0.0001157
PEF;female;mexican_american;child;-3.2549;0.47495;-0.013193;0.00022203;0.00014611
FEF25_75;female;mexican_american;child;-2.1825;0.42451;-0.012415;0.0000961;0.00004594
FEV1;female;mexican_american;adult;0.4529;-0.01178;-0.000113;0.00012154;0.0000989
FEV6;female;mexican_american;adult;0.2033;0.0002;-0.000232;0.00014106;0.0001148
FVC;female;mexican_american;adult;0.121;0.00307;-0.000237;0.00014246;0.0001157
PEF;female;mexican_american;adult;0.2401;0.06174;-0.001023;0.00022203;0.00014611
FEF25_75;female;mexican_american;adult;1.7456;-0.01195;-0.000291;0.0000961;0.00004594
