parameter;sex;ethnicity;coeff;exp;divisor
FVC;male;caucasian;0.000358;3.18;1000
FEV1;male;caucasian;0.000774;3.0;1000
PEFR;male;caucasian;0.000335;2.79;60
FEF25_75;male;caucasian;0.000798;2.46;60
FVC;male;african_american;0.00107;2.93;1000
FEV1;male;african_american;0.00103;2.92;1000
PEFR;male;african_american;0.000174;2.92;60
FEF25_75;male;african_american;0.000361;2.60;60
FVC;male;mexican_american;0.00106;2.97;1000
FEV1;male;mexican_american;0.00173;2.85;1000
PEFR;male;mexican_american;0.000769;2.63;60
FEF25_75;male;mexican_american;0.000913;2.45;60
FVC;female;caucasian;0.00257;2.78;1000
FEV1;female;caucasian;0.00379;2.68;1000
PEFR;female;caucasian;0.00258;2.37;60
FEF25_75;female;caucasian;0.00379;2.16;60
FVC;female;african_american;0.000834;2.98;1000
FEV1;female;african_american;0.00114;2.89;1000
PEFR;female;african_american;0.000551;2.68;60
FEF25_75;female;african_american;0.00145;2.34;60
FVC;female;mexican_american;0.00125;2.92;1000
FEV1;female;mexican_american;0.00161;2.85;1000
PEFR;female;mexican_american;0.000697;2.64;60
FEF25_75;female;mexican_american;0.00120;2.40;60
