,agebound,Mspline,Sspline,Lspline,gender,f
0,19,-0.10298559,0.23636707,,1,FEV1
1,19,-0.22749352,0.38544451,,2,FEV1
2,20,-0.09552918,0.21862369,,1,FEV1
3,20,-0.2051169,0.36160684,,2,FEV1
4,21,-0.08829976,0.20176686,,1,FEV1
5,21,-0.18357982,0.33733006,,2,FEV1
6,22,-0.08127833,0.1855763,,1,FEV1
7,22,-0.16281107,0.31135263,,2,FEV1
8,23,-0.0744082,0.16971384,,1,FEV1
9,23,-0.14277253,0.28290532,,2,FEV1
10,24,-0.06743752,0.15358837,,1,FEV1
11,24,-0.12330646,0.25248475,,2,FEV1
12,25,-0.06011961,0.13676835,,1,FEV1
13,25,-0.10441561,0.22110902,,2,FEV1
14,26,-0.05224207,0.1190926,,1,FEV1
15,26,-0.08636508,0.19030816,,2,FEV1
16,27,-0.04369974,0.10055311,,1,FEV1
17,27,-0.06948387,0.16131318,,2,FEV1
18,28,-0.0345231,0.08131663,,1,FEV1
19,28,-0.05418066,0.13501822,,2,FEV1
20,29,-0.02489094,0.06158432,,1,FEV1
21,29,-0.04064862,0.11190646,,2,FEV1
22,30,-0.01532529,0.04164081,,1,FEV1
23,30,-0.02873258,0.09189323,,2,FEV1
24,31,-0.00627964,0.02177541,,1,FEV1
25,31,-0.01825771,0.07470903,,2,FEV1
26,32,0.00212545,0.00248248,,1,FEV1
27,32,-0.0090868,0.05948972,,2,FEV1
28,33,0.00990235,-0.01572186,,1,FEV1
29,33,-0.00110377,0.04530548,,2,FEV1
30,34,0.0170247,-0.03246619,,1,FEV1
31,34,0.00579082,0.03140391,,2,FEV1
32,35,0.02340412,-0.04753587,,1,FEV1
33,35,0.01168127,0.01718656,,2,FEV1
34,36,0.02896421,-0.06077716,,1,FEV1
35,36,0.01665642,0.00221794,,2,FEV1
36,37,0.03365554,-0.07221606,,1,FEV1
37,37,0.02091912,-0.01327959,,2,FEV1
38,38,0.0374494,-0.08200375,,1,FEV1
39,38,0.02471171,-0.02879595,,2,FEV1
40,39,0.040329,-0.0902823,,1,FEV1
41,39,0.02820961,-0.04388164,,2,FEV1
42,40,0.04232805,-0.09721,,1,FEV1
43,40,0.03132622,-0.05807018,,2,FEV1
44,41,0.04351089,-0.10295002,,1,FEV1
45,41,0.03388664,-0.07092892,,2,FEV1
46,42,0.04393936,-0.10764519,,1,FEV1
47,42,0.03575464,-0.08209823,,2,FEV1
48,43,0.04375282,-0.11132697,,1,FEV1
49,43,0.03696574,-0.09136617,,2,FEV1
50,44,0.04317359,-0.11391178,,1,FEV1
51,44,0.03765186,-0.0986164,,2,FEV1
52,45,0.04240233,-0.11532392,,1,FEV1
53,45,0.03793109,-0.10375639,,2,FEV1
54,46,0.04158584,-0.11550184,,1,FEV1
55,46,0.03787343,-0.1067788,,2,FEV1
56,47,0.04072671,-0.11439813,,1,FEV1
57,47,0.03747359,-0.10781435,,2,FEV1
58,48,0.039793,-0.11197584,,1,FEV1
59,48,0.03672001,-0.10699921,,2,FEV1
60,49,0.03875676,-0.10820652,,1,FEV1
61,49,0.03560731,-0.10446107,,2,FEV1
62,50,0.0375855,-0.10309579,,1,FEV1
63,50,0.0342012,-0.10036108,,2,FEV1
64,51,0.03623394,-0.09670802,,1,FEV1
65,51,0.03262163,-0.09488435,,2,FEV1
66,52,0.03466029,-0.08911069,,1,FEV1
67,52,0.03097757,-0.08820008,,2,FEV1
68,53,0.03282796,-0.08036698,,1,FEV1
69,53,0.02936019,-0.08046245,,2,FEV1
70,54,0.03070491,-0.07056221,,1,FEV1
71,54,0.02773941,-0.07182366,,2,FEV1
72,55,0.02826305,-0.05983919,,1,FEV1
73,55,0.02599032,-0.06243262,,2,FEV1
74,56,0.02547793,-0.04833747,,1,FEV1
75,56,0.02399802,-0.05242469,,2,FEV1
76,57,0.02232839,-0.03618396,,1,FEV1
77,57,0.02166006,-0.04192267,,2,FEV1
78,58,0.01879516,-0.02349872,,1,FEV1
79,58,0.01889875,-0.03103552,,2,FEV1
80,59,0.01485298,-0.01042825,,1,FEV1
81,59,0.01567398,-0.01985708,,2,FEV1
82,60,0.01047572,0.00287641,,1,FEV1
83,60,0.01195427,-0.00847189,,2,FEV1
84,61,0.00564057,0.01627821,,1,FEV1
85,61,0.00771214,0.00304322,,2,FEV1
86,62,0.00032779,0.0296529,,1,FEV1
87,62,0.00292638,0.01461966,,2,FEV1
88,63,-0.00546924,0.04290551,,1,FEV1
89,63,-0.00236585,0.02621995,,2,FEV1
90,64,-0.01171531,0.05601819,,1,FEV1
91,64,-0.00807833,0.03783318,,2,FEV1
