parameter;sex;age_group;a0;a_ht;a_age;a_age2
FVC;male;m_6_11;-3.3756;0.0409;0.0;0.0
FEV1;male;m_6_11;-2.8142;0.0348;0.0;0.0
FEF50;male;m_6_11;-2.5454;0.0378;0.0;0.0
FEF75;male;m_6_11;-1.0149;0.0171;0.0;0.0
FEF25_75;male;m_6_11;-2.3197;0.0338;0.0;0.0
FEV1FVC;male;m_6_11;100.4389;-0.0813;0.0;0.0
FVC;male;m_12_24;-6.8865;0.059;0.0739;0.0
FEV1;male;m_12_24;-6.1181;0.0519;0.0636;0.0
FEF50;male;m_12_24;-6.3851;0.0543;0.115;0.0
FEF75;male;m_12_24;-4.2421;0.0397;-0.0057;0.0
FEF25_75;male;m_12_24;-6.199;0.0539;0.0749;0.0
FEV1FVC;male;m_12_24;100.4389;-0.0813;0.0;0.0
FVC;male;m_25plus;-8.7818;0.0844;-0.0298;0.0
FEV1;male;m_25plus;-6.5147;0.0665;-0.0292;0.0
FEF50;male;m_25plus;-5.5409;0.0684;-0.0366;0.0
FEF75;male;m_25plus;-2.4827;0.031;-0.023;0.0
FEF25_75;male;m_25plus;-4.5175;0.0579;-0.0363;0.0
FEV1FVC;male;m_25plus;86.6862;0.0;-0.105;0.0
FVC;female;f_6_10;-3.7486;0.043;0.0;0.0
FEV1;female;f_6_10;-2.7578;0.0336;0.0;0.0
FEF50;female;f_6_10;0.7362;0.0;0.1846;0.0
FEF75;female;f_6_10;-0.1657;0.0109;0.0;0.0
FEF25_75;female;f_6_10;-0.8119;0.022;0.0;0.0
FEV1FVC;female;f_6_10;109.9739;-0.1909;0.6655;0.0
FVC;female;f_11_19;-4.447;0.0416;0.0699;0.0
FEV1;female;f_11_19;-3.7622;0.0351;0.0694;0.0
FEF50;female;f_11_19;-2.304;0.0288;0.1111;0.0
FEF75;female;f_11_19;-4.4009;0.0243;0.2923;-0.0075
FEF25_75;female;f_11_19;-2.8007;0.0279;0.1275;0.0
FEV1FVC;female;f_11_19;109.9739;-0.1909;0.6655;0.0
FVC;female;f_20_69;-3.1947;0.0444;-0.0169;0.0
FEV1;female;f_20_69;-1.821;0.0332;-0.019;0.0
FEF50;female;f_20_69;-0.4371;0.0321;-0.024;0.0
FEF75;female;f_20_69;-0.1822;0.0174;-0.0254;0.0
FEF25_75;female;f_20_69;-0.4057;0.03;-0.0309;0.0
FEV1FVC;female;f_20_69;121.6777;-0.1852;-0.1896;0.0
FVC;female;f_70plus;-0.1889;0.0313;-0.0296;0.0
FEV1;female;f_70plus;2.6539;0.0143;-0.0397;0.0
FEF50;female;f_70plus;6.2402;0.0118;-0.0755;0.0
FEF75;female;f_70plus;1.8894;0.0;-0.0172;0.0
FEF25_75;female;f_70plus;6.3706;0.0;-0.0615;0.0
FEV1FVC;female;f_70plus;121.6777;-0.1852;-0.1896;0.0
