parameter;sex;kind;a0;a_ht;a_age;a_wt;lln
FVC;male;linear;-3.18;0.0517;-0.0207;0;0.90
FEV6;male;linear;-3.179;0.0521;-0.0229;0;0.87
FEV1;male;linear;-0.789;0.0338;-0.0252;0;0.76
FVC_WT;male;linear;-3.748;0.0599;-0.0213;-0.0106;0.91
FEV6_WT;male;linear;-3.655;0.0593;-0.0235;-0.00964;0.89
FEV1_WT;male;linear;-1.201;0.0398;-0.0257;-0.0077;0.76
FEV1FVC;male;linear;120.3;-0.175;-0.197;0;7.6
FEV1FEV6;male;linear;117.1;-0.165;-0.151;0;6.9
PEF;male;log;-1.43;0.830;-0.114;0;0.76
FEF50;male;log;3.55;0;-0.529;0;0.60
FEF75;male;log;4.46;0;-1.071;0;0.60
FEF25_75;male;log;3.93;0;-0.687;0;0.59
FEF75_85;male;log;4.39;0;-1.169;0;0.58
FEF50_FVC;male;log;15.17;-1.827;-0.307;0;0.64
FEF75_FVC;male;log;13.99;-1.434;-0.828;0;0.59
FEF25_75_FVC;male;log;14.39;-1.609;-0.454;0;0.64
FEF75_85_FVC;male;log;12.76;-1.212;-0.923;0;0.58
FVC;female;linear;-2.848;0.0441;-0.0189;0;0.64
FEV6;female;linear;-2.769;0.0437;-0.0196;0;0.63
FEV1;female;linear;-1.353;0.0314;-0.0203;0;0.61
FEV1FVC;female;linear;111.5;-0.140;-0.158;0;8.50
FEV1FEV6;female;linear;105.9;-0.107;-0.141;0;7.90
PEF;female;log;-4.863;1.442;-0.125;0;0.75
FEF50;female;log;-1.369;0.839;-0.444;0;0.56
FEF75;female;log;-1.922;1.097;-0.952;0;0.53
FEF25_75;female;log;-1.852;0.998;-0.588;0;0.57
FEF75_85;female;log;-3.279;1.382;-1.089;0;0.52
FEF50_FVC;female;log;13.21;-1.56;-0.175;0;0.60
FEF75_FVC;female;log;12.66;-1.303;-0.683;0;0.56
FEF25_75_FVC;female;log;12.73;-1.401;-0.319;0;0.61
FEF75_85_FVC;female;log;11.30;-1.02;-0.819;0;0.57
