parameter;sex;kind;a0;a_ht;a_age;lln
FVC;male;linear;-2.931;0.048;-0.019;0.78
FEV1;male;linear;-0.989;0.033;-0.024;0.76
FEV1FVC;male;linear;112.0;-0.134;-0.189;8.70
PEF;male;linear;1.903;0.059;-0.048;2.67
FEF25_75;male;log;3.735;0;-0.670;0.62
FEF50;male;log;3.383;0;-0.517;0.62
FEF75;male;log;3.872;0;-0.956;0.57
FVC;female;linear;-1.83;0.035;-0.013;0.66
FEV1;female;linear;-0.69;0.025;-0.017;0.55
FEV1FVC;female;linear;103.2;-0.074;-0.200;7.8
PEF;female;linear;8.134;0;-0.029;1.77
FEF25_75;female;log;3.32;0;-0.625;0.63
FEF50;female;log;2.862;0;-0.436;0.61
FEF75;female;log;3.805;0;-1.01;0.54
