age;Mspline;Sspline
2;0.0482220880606674;0.326128593332224
2.25;0.0468810110306357;0.315068483919748
2.5;0.045540367634247;0.304008883422253
2.75;0.0442005915051444;0.292950300754721
3;0.0428621162769707;0.281893244832131
3.25;0.0415252169480127;0.270838050171158
3.5;0.0401899361901623;0.259784795876744
3.75;0.0388564638312219;0.248733722832031
4;0.0375249904006514;0.237685072691538
4.25;0.0361957062487748;0.226639086912837
4.5;0.0348688017288918;0.215596006956822
4.75;0.0335444671940273;0.204556074293138
5;0.0322228929953376;0.193519530352908
5.25;0.0309042692102413;0.182486610906448
5.5;0.0295888519850678;0.171458917993002
5.75;0.0282771597520166;0.160443477579967
6;0.0269697790709709;0.149448724477949
6.25;0.0256672962281677;0.138483087838697
6.5;0.0243702975079243;0.127554996774272
6.75;0.0230793691950362;0.116672880406594
7;0.0217950975742993;0.105845167857628
7.25;0.0205180689305107;0.0950802882493362
7.5;0.0192488695484661;0.0843866707036707
7.75;0.0179880857129622;0.073772744342592
8;0.0167363037087951;0.0632469382880529
8.25;0.0154941098207626;0.0528176816620181
8.5;0.0142620903336583;0.0424934035864415
8.75;0.0130408315324346;0.0322825331830892
9;0.0118309197014252;0.0221934995744792
9.25;0.0106329411592498;0.012234731842224
9.5;0.00944744137712128;0.00241470778278075
9.75;0.0082746815693242;-0.00725775580107291
10;0.00711480148313126;-0.0167736972443335
10.25;0.0059679404462758;-0.0261241543816855
10.5;0.00483423778705605;-0.0353001650484646
10.75;0.00371383283363014;-0.0442927670798459
11;0.00260686491415685;-0.0530929983109916
11.25;0.00151347335679231;-0.0616918965770856
11.5;0.000433797489694188;-0.0700804997133004
11.75;-0.000632023358978273;-0.0782498455547969
12;-0.00168384986106984;-0.0861909719367633
12.25;-0.00272154268841995;-0.0938949166943277
12.5;-0.00374496251287515;-0.10135271766277
12.75;-0.00475397000686528;-0.108555412700913
13;-0.00574842584046098;-0.115494039572706
13.25;-0.00672819100318356;-0.122159648885079
13.5;-0.0076931350342877;-0.12854363497275
13.75;-0.00864325506236563;-0.134642521688813
14;-0.00957863400442149;-0.140456281867146
14.25;-0.0104993567198404;-0.145984966432221
14.5;-0.0114055081425166;-0.15122862930358
14.75;-0.0122971731873893;-0.156187323639101
15;-0.0131744367696618;-0.160861102606988
15.25;-0.0140373838044647;-0.165250019372822
15.5;-0.0148860992069408;-0.169354127102265
15.75;-0.0157206678922164;-0.173173478960864
16;-0.0165411747754358;-0.176708128114302
16.25;-0.0173477047717339;-0.179958127726914
16.5;-0.0181403427962343;-0.182923530968019
16.75;-0.0189191737620553;-0.185604391354115
17;-0.0196842825904215;-0.188000760988327
17.25;-0.0204357540707394;-0.190112715006744
17.5;-0.021173672674627;-0.191940384086019
17.75;-0.0218981000073697;-0.193487894990751
18;-0.0226090738082185;-0.194763545292728
18.25;-0.0233066304033294;-0.195775879507351
18.5;-0.0239908061493095;-0.196533436833979
18.75;-0.0246616373922748;-0.197044758303782
19;-0.0253191604787237;-0.197318384880969
19.25;-0.025963411756678;-0.197362857261292
19.5;-0.0265944275735055;-0.197186716258174
19.75;-0.0272122442765612;-0.196798502684779
20;-0.0278168982132241;-0.196206757353643
20.25;-0.0284084257308468;-0.195420021076572
20.5;-0.0289868631768062;-0.194446834665873
20.75;-0.0295522468981311;-0.193295738931871
21;-0.0301046132431895;-0.191975274692297
21.25;-0.0306439985280773;-0.190493982588507
21.5;-0.0311704388360818;-0.188860401990314
21.75;-0.0316839391932651;-0.187082902627685
22;-0.0321844503979476;-0.185169558029717
22.25;-0.0326719176844834;-0.183128411334081
22.5;-0.0331462862915286;-0.180967505702049
22.75;-0.0336075014566748;-0.178694884289017
23;-0.034055508417518;-0.176318590250457
23.25;-0.0344902524115955;-0.173846666741419
23.5;-0.0349116786765284;-0.171287156917543
23.75;-0.0353197324498762;-0.168648103934022
24;-0.0357143589692444;-0.165937550946396
24.25;-0.0360955034721751;-0.163163541109732
24.5;-0.0364631111962923;-0.160334117579698
24.75;-0.0368171273791296;-0.1574573235112
25;-0.037157497258347;-0.154541202060486
25.25;-0.0374841660831371;-0.151593796544886
25.5;-0.0377970789868884;-0.148623148667954
25.75;-0.038096108242861;-0.145636284999914
26;-0.0383809149123788;-0.142637289372538
26.25;-0.0386511220272521;-0.139629715766316
26.5;-0.0389063526409048;-0.136617118462865
26.75;-0.0391462298012235;-0.13360305166654
27;-0.0393703765561655;-0.130591069582935
27.25;-0.0395784159537058;-0.127584726417654
27.5;-0.039769971041792;-0.124587576376084
27.75;-0.0399446648683899;-0.121603173663743
28;-0.0401021204814569;-0.118635072486074
28.25;-0.0402419609289533;-0.115686827048569
28.5;-0.0403638092587901;-0.112761991556746
28.75;-0.0404672885188191;-0.10986412021734
29;-0.0405520217575766;-0.106996767231343
29.25;-0.0406176320341121;-0.104163486723702
29.5;-0.0406637423613534;-0.101367833153913
29.75;-0.0406900487459925;-0.0986128322579964
30;-0.0406966051132671;-0.0958989172260374
30.25;-0.0406835754661445;-0.0932257239106735
30.5;-0.040651123672373;-0.0905928891446059
30.75;-0.0405994136404195;-0.0880000494652409
31;-0.0405286092789889;-0.0854468414084137
