sex;ethnicity;age;fvc_alpha;fvc_beta;fev1_alpha;fev1_beta;fev1fvc_alpha;fev1fvc_beta;fef25_75_alpha;fef25_75_beta
male;caucasian;6;-0.024;2.470;-0.109;2.252;-0.078;-0.248;;
male;caucasian;7;-0.018;2.489;-0.104;2.270;-0.086;-0.220;;
male;caucasian;8;0.005;2.443;-0.089;2.257;-0.091;-0.199;0.264;1.505
male;caucasian;9;0.017;2.426;-0.063;2.197;-0.086;-0.206;0.308;1.443
male;caucasian;10;0.030;2.407;-0.057;2.212;-0.081;-0.209;0.290;1.557
male;caucasian;11;0.009;2.468;-0.093;2.324;-0.101;-0.147;0.242;1.738
male;caucasian;12;-0.061;2.649;-0.161;2.512;-0.101;-0.133;0.165;1.982
male;caucasian;13;-0.175;2.924;-0.292;2.843;-0.116;-0.085;0.007;2.396
male;caucasian;14;-0.219;3.060;-0.329;2.983;-0.106;-0.087;0.014;2.483
male;caucasian;15;-0.079;2.859;-0.141;2.709;-0.060;-0.155;0.241;2.163
male;caucasian;16;0.104;2.591;0.062;2.409;-0.045;-0.178;0.503;1.764
male;caucasian;17;0.253;2.374;0.262;2.099;0.008;-0.272;0.762;1.368
male;caucasian;18;0.296;2.316;0.251;2.129;-0.054;-0.170;0.678;1.528
